Time [ns],V(AM_SI) [mV],V(SI) [mV],Time [ns],V(AM_SI) [mV],V(SI) [mV]
26.10657531,-101.5762462,-101.6625848,2.7625E-08,-72.30848731,-72.37157945
26.2442287,78.98557784,79.00780661,2.775E-08,56.36808339,56.38389389
26.38188209,214.3124129,214.4303726,2.7875E-08,1.53E+02,152.7755351
26.51953547,226.3942856,226.5432636,0.000000028,161.4955697,161.6040223
26.65718886,108.6787265,108.7776719,2.8125E-08,77.99292047,78.06520409
26.79484225,-70.40844468,-70.41285544,2.825E-08,-4.96E+01,-49.63646257
26.93249564,-207.9458672,-208.0505971,2.8375E-08,-148.2506449,-148.3267158
27.07014903,-226.0928452,-226.2405762,2.85E-08,-161.8958963,-162.0035078
27.20780242,-115.8459254,-115.9564185,2.8625E-08,-8.35E+01,-83.54472149
27.34545581,59.16469158,59.15113318,2.875E-08,41.868565,41.85852228
27.4831092,199.5830554,199.6734631,2.8875E-08,142.7841464,142.8499262
27.62076259,226.4036013,226.5487192,0.000000029,1.62E+02,162.4422267
27.75841598,125.089976,125.2109903,2.9125E-08,89.95087532,90.03903742
27.89606937,-46.50185064,-46.47064433,2.925E-08,-32.9424288,-32.9197122
28.03372275,-190.9748336,-191.0504147,2.9375E-08,-1.37E+02,-136.6288606
28.17137614,-226.6457728,-226.7870769,2.95E-08,-162.3359947,-162.4388306
28.30902953,-133.6971557,-133.8272465,2.9625E-08,-95.85774497,-95.9523286
28.44668292,34.93028281,34.88241966,2.975E-08,2.50E+01,24.94843856
28.58433631,183.6634439,183.7241236,2.9875E-08,131.5897941,131.6339949
28.7219897,228.2493055,228.3855702,0.00000003,163.5135338,163.6125771
28.85964309,143.3636236,143.5010306,3.0125E-08,1.03E+02,102.8359098
28.99729648,-22.77699331,-22.71375058,3.025E-08,-16.00861372,-15.96280973
29.13494987,-175.380851,-175.4266501,3.0375E-08,-124.9075772,-124.940942
29.27260326,-227.0381611,-227.1681334,3.05E-08,-1.62E+02,-161.8739032
29.41025665,-148.1782227,-148.3211563,3.0625E-08,-105.7483392,-105.8519643
29.54791003,15.54148278,15.46420466,3.075E-08,10.73768698,10.68180339
29.68556342,169.6535966,169.6847631,3.0875E-08,1.21E+02,120.6396711
29.82321681,225.6923609,225.8151376,0.000000031,160.8927253,160.9817379
29.9608702,152.131854,152.2787126,3.1125E-08,108.8635603,108.9698296
30.09852359,-7.965240254,-7.875478444,3.125E-08,-5.03E+00,-4.960241997
30.23617698,-162.1819442,-162.1991966,3.1375E-08,-114.9658594,-114.9784775
30.37383037,-221.9664785,-222.0814766,3.15E-08,-157.8013134,-157.8844912
30.51148376,-153.4206826,-153.5697858,3.1625E-08,-1.09E+02,-109.4494765
30.64913715,3.282886905,3.182523613,3.175E-08,1.896533847,1.824143547
30.78679054,157.2137503,157.2180729,3.1875E-08,111.4176609,111.4208418
30.92444393,219.552435,219.65916,0.000000032,1.56E+02,156.2424869
31.06209731,155.1172103,155.2669009,3.2125E-08,110.8461092,110.9540309
31.1997507,2.139783518,2.248901748,3.225E-08,2.137105451,2.215733007
31.33740409,-150.8429994,-150.8354349,3.2375E-08,-1.07E+02,-107.1382483
31.47505748,-216.4271915,-216.5253983,3.25E-08,-154.3506532,-154.4213356
